"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Dixie Marie,Dixie,8,St. Bernard
Dog,Heidi,Heidi,2,St. Bernard
Dog,Phin,Phin,2,St. Bernard
Dog,Jager,Jager,12,Labrador Retriever
Dog,Brown Bear,Bear,7,
Dog,Lucy,Lucy,4,Golden Retriever
Dog,Kahlua,Chicky-chix,0.8,Mixed
Dog,Baylei,Stinky,1,Labrador Retriever
Dog,Baylei,Stinky,1,Labrador Retriever
Dog,Rocky,Rocky,5,Mixed
Dog,Abigail,Abby,4,Pitbull
Dog,Kira,Kira/Squishy,15,Beagle
Dog,Sammy,Sam sam,6,Mixed
Dog,Piper Marie,Piper,4,Newfoundland
Dog,Charlene,Charlie,12,Yellow Labrador Retriever
Dog,Thor Mighty God of Thunder,Thor,9,Dachshund
Dog,Cody Anne,Cody,2,Golden Retriever
Dog,Tessa,Tessa,11,German Shepherd
Dog,Lily,Lily,10,Mixed
Dog,Butters,Butters,9,Mixed
Dog,Marigold,Marigold,8,Mixed
Dog,Prince Romeo,Romey,8,Miniature Pinscher
Dog,Snickers the First,Snickers,6,Yorkshire Terrier
Dog,Lucky,Lucky,3,Mixed
Dog,Ares,Ares,8,Olde English Bulldog
Dog,Maximillian,Max,13,Golden Retriever
Dog,Rogue,Rogue,6,Border Collie
Dog,Ace,,1,American Hairless Terrier
Dog,Ava,,4,American Hairless Terrier
Dog,Winnifred,Winnie,6,Mixed
Dog,Mika,Mika,8,Mixed
Dog,Charlie Elizabeth Begonias,Charlie,5,Labradoodle
Dog,Jack Ass,"Jack, Jackie",5,Border Collie
Dog,Dan,Digger,13,Pug
Dog,Koko,Koko,4,French Bulldog
Dog,Archibald,Archie,2,Golden Retriever
Dog,Sassie,Sassie,19,Poodle
Dog,Zoe,Zoe,12,Mixed
Dog,Bobo,Bobes,10,Mixed
Dog,Isiah Thomas,Izzy,0.25,Maine Coon
Dog,Sir Pete the Pup,Pete,12,Chihuahua
Dog,Roux Stir,Roux,8,Catahoula
Dog,Lucy Scramble,Lucy,5,Boxer
Dog,Junebug,Junebug,10,Mixed
Dog,Crinkle,Crink-a-dink,7,Rhodesian Ridgeback
Dog,Smokey,Spooky,14,Mixed
Dog,Daisy May,Daisy,3,Yellow Labrador Retriever
Dog,Crimson,Crimson,9,Mixed
Dog,Tide,Tide Dog,9,Mixed
Dog,Sophie,Sophie,10,Mixed
Dog,Sir Nigel Petrie of the Poofybottom Clan,Nigel,12,Mixed
Dog,Tobi,"Bobo, Tib Tob, Tibbi Bibbi, Corn Chip",10,Newfoundland
Dog,Bruin,Bru,7,Golden Retriever
Dog,Lucinda Jean,Lucy,1,Golden Retriever
Dog,Dave,Dave,4.5,Golden Retriever
Dog,Harper Valley,Harper,0.25,Dachshund
Dog,Buster Brown,Buster,11,Mixed
Dog,Leila,Leila!!,5,Pointer
Dog,Trixie,Trixie Treat,3,Golden Retriever
Dog,Archer,Archibald,9,Yellow Labrador Retriever
Dog,Josie Pancakes Fluffybottom,Josie,8,
Dog,Zeus,Zu,1,Great Dane
Dog,Shooter,Shooter,8,Blue Heeler
Dog,Ellie,Ellie,8,Yellow Labrador Retriever
Dog,Macie,Mace,8,Golden Retriever
Dog,Maddie,Bubbis,17,Shih Tzu
Dog,Squirt,Squirt,7,Bulldog
Dog,Samantha Marie,Sammie,8,Mixed
Dog,Quincy,Quincy,5,Mixed
Dog,Cajun,Cajun,6,Mixed
Dog,Duke,Dukie Doo,3,Pitbull
Dog,Daisy,Daisy Dee,3,Pitbull
Dog,Nico,Nico,4,Mixed
Dog,Chance McCoy,Chance,10,Golden Retriever
Dog,Kobi,Kobi,11,Mixed
Dog,Maila,Maila Moose,1,South African Mastiff
Dog,Phineas,Phin,3,Labrador Retriever
Dog,Cody,Vody,20,Labrador Retriever
Dog,Perry,Perry,3,Labrador Retriever
Dog,Call it a night Sir Dudley,Dudley,5,Golden Retriever
Dog,Madison Brooke,Maddy,7,Foxhound
Dog,Like Francis,Luke,8,Treeing Walker Coonhound
Dog,Pilikia,Pili,14,Chihuahua
Dog,Mia Pieper,Mia,3,Mixed
Dog,Pepper Potts,Pepper,6,Golden Retriever
Dog,Scruffy,Scruffy,,Mixed
Dog,Princess Jessi,Jessi,7,
Dog,Mowgli,,1,Labrador Retriever
Dog,,,2,Labrador Retriever
Dog,Wille,Willie,8,
Dog,Otto,Otto,1.5,Mixed
Dog,Optimus,Opti,7,Maltese
Dog,Memphis Mumford,Memphis,2,Cane Corso Mastiff
Dog,Louie,Louie,6,Mixed
Dog,Anna,Anna,5,
Dog,Chester,Chester,13,Nova Scotia Duck Toller
Dog,Zeus Theodore,Zeus,7,Mixed
Dog,Ripley,Ripley,13,Golden Retriever
Dog,Beau,Beau Beau,4,Goldendoodle
Dog,Lucy,Lucy,9,Golden Retriever
Dog,Penelope,Penny,3,Maltese
Dog,Callie,Cal,4,Golden Retriever
Dog,Jake,Jakey poo poo head,2,Goldendoodle
Dog,Willie,Willie,2.5,Yellow Labrador Retriever
Dog,package,package,1,Dalmatian
Dog,Luna,Luna,5,Yorkshire Terrier
Dog,Delilah,Lila,4,Labrador Retriever
Dog,Josephine,Josie,4,Border Collie
Dog,Russell D.,Rusty,9,Mixed
Dog,Excalibur Insubordinate O’Mallie IX,Cali,2,Golden Retriever
Dog,Darth Vada Mae,Vada,7,Mixed
Dog,Butterscotch,Butters,10,Mixed
Dog,Emma Jean Jelly Bean,Emma,13,Shih Tzu
Dog,Rigby,Rigs,6,Boston Terrier
Dog,Sir Scribbles Of the Shire,Scribbles,5,Mixed
Dog,Tele,Tele,11,Labrador Retriever
Dog,Maggie,Pooper,14,Dachshund
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Bug,bug,6,Mixed
Dog,Rayven,Ray,6,German Shepherd
Dog,puppy girl,puppy,4,Jack Russell Terrier
Dog,beyoncé,beyoncé,2,Chihuahua
Dog,Pippa Mad,Pippa,2,Havanese
Dog,Tails Balboa,Tails,14,Chihuahua
Dog,Tara Balboa,Tara,6,Chihuahua
Dog,Mia,Mimi,1,Chihuahua
Dog,Slainte,Slainte,12,Mixed
Dog,Clyde Frog the Dog,Clyde,3.75,Yellow Labrador Retriever
Dog,Asher,Ashie,9,Golden Retriever
Dog,Miley,Miley,13.5,Mixed
Dog,Suzie,Suzie,5,Chocolate Labrador Retriever
Dog,Joshua,Joshie,9,Golden Retriever
Dog,Kona Kai,Kona,2,Mixed
Dog,Charlie,Charlie,11,Boston Terrier
Dog,Lucky,Lucky,4,Yellow Labrador Retriever
Dog,Lily Ann,Lily,3,Golden Retriever
Dog,Robbie,Robbie,10,West Highland White Terrier
Dog,Chance,Chance,4,Yellow Labrador Retriever
Dog,McGregor,Gregs,11,Scottish Terrier
Dog,Maggie,"Mags, maggals",6,Corgi
Dog,Boo Radley Beauregard,Boo,5,Mixed
Dog,Jean Louise,Scout,2.5,Golden Retriever
Dog,Java Joe,Joe,0.13425393172228614,Corgi
Dog,Heidi hoho,Heidi,7,
Dog,Finlay Heisenberg,Finn,8,Shetland Sheepdog
Dog,Nala Belle,Nala,11,Golden Retriever
Dog,Matelin Paco Junior,Mate,9,Australian Shepherd
Dog,Eddie,Eddie,8,Chihuahua
Dog,Sir Thompson Squigglebutt,Tommy,7,Chihuahua
Dog,Miss Kasey Bubbles,Kasey,8,English Setter
Dog,Angel,Angel,9,Golden Retriever
Dog,Loosie,Goose,15,Whippet
Dog,Sophie,Sophie,14,Whippet
Dog,Douglas,Douglas,10,Basset Hound
Dog,Zoi,Z,1,English Setter
Dog,Jasper,Jasper,14,Whippet
Dog,Rupert,Roo,3,Basset Hound
Dog,Spencer,Spence,10,Pointer
Dog,Sir Clyde Bootsie Sideeye,Clyde,11,Chihuahua
Dog,Daisy Mae,Daisy,7,Goldendoodle
Dog,Teddy Bear,Teddy,11,Mixed
Dog,Edward Gene,Eddy,15,Golden Retriever
Dog,Peaches Monroe,Peaches,4,Jack Russell Terrier
Dog,Sir Nicholas,Nick,9,Mixed
Dog,Eowyn,Eo,13,Shih Tzu
Dog,Jayden,Denden,8,Shih Tzu
Dog,Joey,Jo,1,Golden Retriever
Dog,Walker Texas Ranger,Wally,1,Mixed
Dog,Mike Mussina,Moose,1,Mixed
Dog,Demon Deacon,Deke,13,Golden Retriever
Dog,benny the tiny von hudehoff,benny,5,Yorkshire Terrier
Dog,Jacky,Jack,3,Golden Retriever
Dog,Gigi,Gigi,10,Golden Retriever
Dog,Liontamer’s Nelson M Mandela,Nelson,2,Rhodesian Ridgeback
Dog,Toby,Toby,12,Golden Retriever
Dog,Sugar,Sugar,13,Mixed
Dog,Mackley,Mackey,4,Bulldog
Dog,Sugar,Sugar,5,Golden Retriever
Dog,Minnie,Minnie,10,Miniature Pinscher
Dog,Meeko letang,Bubby,3,
Dog,Oddjob,Jobby,11,Puggle
Dog,Charleston Wesley,Charlie,1,Goldendoodle
Dog,Shelby,Shelb,0.25,Mixed
Dog,Barracuda,Cuda,0.25,Mixed
Dog,Daisy,Daisy,5,Mixed
Dog,Moose Van Haus Huenink,Moose,3,Rottweiler
Dog,Princess Bella Marie,Bella,11,Dachshund
Dog,Geno Stoneycreek Pugh,Beans,2,Rottweiler
Dog,Sadie Mae,Sadie,6,German Pointer
Dog,Ruby Sue,Ruby,3,Blue Tick Coon Hound
Dog,Zoey,Zoey/zozo,8,Golden Retriever
Dog,Apollo,Apollo,10,Boxer
Dog,Petey,Pete,11,Yellow Labrador Retriever
Dog,Sadie Blue,Sadie,9,Border Collie
Dog,Mira,Weetum,13.5,Greyhound
Dog,Ginger,Ginger,9,Mixed
Dog,Hairy Potter,Hairy,12,Boston Terrier
Dog,Cricket,Crickita,12,Mixed
Dog,Xenia Marie,Xenia,8,German Shepherd
Dog,Daisy Mae,Daisy,12,Cairn Terrier
Dog,Skylar,Sky dog,15,Mini Aussie
Dog,Maybus Dogstoevsky,Maybe,11,Treeing Walker Coonhound
Dog,Kahlua,"Louie, LouLou, KaHULA, FlufferNutter",7,Mini Aussie
Dog,Maggie pie thatcher,Maggie,0.3333333333333333,Blue lacy
Dog,Ashildr,Ashy,1,Boxer
Dog,Elsa,Stinky poo poo,,German Shepherd
Dog,Belle,Stinky poo poo too,,Golden Retriever
Dog,Zeus,Zeusy,8,Mixed
Dog,Molly,Miss Pants,6,Yellow Labrador Retriever
Dog,Chip,"Chippy, Chipper, Dumbo, or Chipper Dipper",13.5,Yellow Labrador Retriever
Dog,Chewustuffer Asshole,Chewy,2,Golden Retriever
Dog,Sailor Moon,Either Sailor or Moon,4,Newfoundland
Dog,Navigator’s Sipsey River PrinceS,Sipsey,11,Labrador Retriever
Dog,Buddy,Bud,9,Border Collie
Dog,Brown Butter Biscuit,Biscuit,12,Labrador Retriever
Dog,Millie,Lil mil,13,Mixed
Dog,Jonah,Jonah,5,Mixed
Dog,Diggs,Diggs,9,Australian Cattle Dog
Dog,Herman,"Hermie, Herm-Derm, Herbie, Herm-Worm",14,Dachshund
Dog,Datsyuk,Datsyuk,0.6666666666666666,Mixed
Dog,Nightwing,Nightwing,6,Mixed
Dog,Isabella,Bella,5,German Shepherd
Dog,Princess Buttercup,Princess,4,Mixed
Dog,Sir Jake of Zoar,Jake,11,Yellow Labrador Retriever
Dog,scout,scout,6,King Charles
Dog,Aluxe,Aluxe,14,Poodle
Dog,brownie,brownie,11,King Charles
Dog,Shelby May,Shelbs,6,Terrier
Dog,Mr. Henry Midas Darcy,Henry,7,Golden Retriever
Dog,Annie Reese,Annie,11,Mixed
Dog,Blackjack,Blackjack,3,Mixed
Dog,Jaden,Jaden,8,
Dog,Sophie,Soph,9,Golden Retriever
Dog,Petey,Petey,11,Golden Retriever
Dog,Jack,Jackson,11,Golden Retriever
Dog,Bella,Bell,8,Puggle
Dog,Starsky Buford,Starsky,7,Foxhound
Dog,Quito,Kiki,4,Mixed
Dog,Wiggins,Wiggs,3,Mixed
Dog,Bella,Smelly Belly,13,Weimaraner
Dog,Maple,"Mapie, Mapes",0.5,Shiba Inu
Dog,Sara,Sara,7,Polish Tatra Sheepdog
Dog,Clementine,Clem,6,Coonhound
Dog,Ali May,Ali,12,Yellow Labrador Retriever
Dog,Aspen,Ass-pen,3,Coonhound
Dog,Amber,Amber,2,German Pointer
Dog,Coquine,Ti-Chat,15,Maltese
Dog,Medley May,Med head/big medley,8,Great Dane
Dog,Maggie,Mag bag,3,Great Dane
Dog,Finn Jethro,Finny,7,Poodle
Dog,Tallulah Lilac,Lulah,4,Poodle
Dog,Bear,Bear,6,Mixed
Dog,Emily,Emily,7,Pitbull
Dog,Winifred Yankeestaff Arnone,Winnie,13,English Staffordshire Bull Terrier
Dog,Bella,Bella,9,Shih Tzu
Dog,Mocha Latte,Moch,2,Mixed
Dog,Bentley Rockstaff Jardine Arnone,Bentley,0.8333333333333334,English Staffordshire Bull Terrier
Dog,Freddie Mercury,Freddie,15,Miniature Schnauzer
Dog,Einstein Pancake,Einstein,11,Mixed
Dog,Sir Eggs Benedict,Benny,2.5,Pembroke Welsh Corgi
Dog,Bandit,Ban ban,8,Husky
Dog,Mac,Mac,5,Border Collie
Dog,Shepherd E Stoltzfus,Shep,5,Border Collie
Dog,Cinnamon,Chinamon,4,Golden Retriever
Dog,Rocky Ciroc,Ciroc,6,Bichon Frise
Dog,Jack,Jack,2,Dachshund
Dog,Baldrick of Blackadder Bob,Bob,14,Miniature Schnauzer
Dog,Danny,Danny,,Mixed
Dog,Troy,Sweetie,9,Mixed
Dog,Lavender,Lav,8,Pitbull
Dog,Buddy,Mr. B,6,Golden Retriever
Dog,Chase,Chase,6,Boxer
Dog,Charlotte,Charlie,8,Border Collie
Dog,Ice,Ice,14,Mixed
Dog,Dolly,Dolly,0.75,Yellow Labrador Retriever
Dog,Geoffrey,Geoffrey,1,Maltipoo
Dog,Holly,Holly,8.5,Golden Retriever
Dog,coco pollybird,coco,10,Cocker Spaniel
Dog,Tim,Tim,12,Beagle
Dog,Magui Josefina Primera Mercado,Moñoñito,16,Cocker Spaniel
Dog,Scooby,Scoob,,Cocker Spaniel
Dog,Balto José,Bartolo,6,
Dog,Xena Badass McAwesome Princess Flufflepuffs of the Ashen Fields of Mordor,Xena,6,Golden Retriever
Dog,Wilbur,Wilby,6,French Bulldog
Dog,Rowena Ravenclaw,Puppy,3,Rhodesian Ridgeback
Dog,Magnificent,Maggie,7,King Charles
Dog,Nova,Scoosh,0.5833333333333334,Cocker Spaniel
Dog,Penny,Penny,12,Cairn Terrier
Dog,Maisie taters,Maisie,2,Mixed
Dog,Guinness,Guinness,9,Australian Shepherd
Dog,Johnny Bee,Johnny,5,Mixed
Dog,Mayflower,May,12,Labrador Retriever
Dog,Roscoe,Roscoe,13,Beagle
Dog,Ashley,Ashley,5,Cocker Spaniel
Dog,Janis,Janis,7,
Dog,Leonardo,Leo,7,Pekingese
Dog,Ceili Kibbles,Ceili (pronounced K-Lee),10,Golden Retriever
Dog,Charlie,Charlie,0.4166666666666667,Bernese Mountain Dog
Dog,Mango,Mango,2,
Dog,Rufus,Roofie,14,Golden Retriever
Dog,Daisy,Daze,0.3333333333333333,Golden Retriever
Dog,Lily,Lils,13,Golden Retriever
Dog,Bertie,Bertie Boy,0.3333333333333333,Golden Retriever
Dog,Max,Bear,7,Akita
Dog,Molly,Moo,7,Beagle
Dog,Poppy,Poppy dog,2,Golden Retriever
Dog,daisy,Daisy dog,2,Golden Retriever
Dog,Koda,Koda,9,Golden Retriever
Dog,Elwood,Elwood,9,Golden Retriever
Dog,Jake,Jakey,9,Golden Retriever
Dog,Miles,Miles,8,Labrador Retriever
Dog,Indiana,Indy,10,Springer Spaniel
Dog,Maximus Harvey,Max,2,Golden Retriever
Dog,Douglas Ray Richardson the Third,Doug,6,Red heeled
Dog,Harley,Gnarly,4,Pug
Dog,Buster,Busty,14,Jack Russell Terrier
Dog,Alfie,Alfie Dude,14,Jack Russell Terrier
Dog,Mila,Mila,9,Mixed
Dog,Zero,Boydog,10,Rhodesian Ridgeback
Dog,Bella Nina,Bella,7,German Shepherd
Dog,Thomas James,Tom,4,
Dog,Archie,Archie,0.33,German Shepherd
Dog,Briggs,Briggy,10,Yellow Labrador Retriever
Dog,Mya (The Dog),My,13,Yellow Labrador Retriever
Dog,Neela,Neely,8,Shih Tzu
Dog,Hank,Hankle,2,Mixed
Dog,Button,Button,7,Mixed
Dog,Missy Princess,Missy,14,Cocker Spaniel
Dog,Prince,Prince,7,German Shepherd
Dog,Samuel,Sam,8,Golden Retriever
Dog,Precious Fudge,Miss Precious,12,Chocolate Labrador Retriever
Dog,truffles,truffs,11,Poodle
Dog,woodland,woody,4,Chihuahua
Dog,Heath M,Mr. Peaf,8,Australian Cattle Dog
Dog,Mosley,Mr. Mosley,6,Mixed
Dog,Peter,Mr. Peter,3,
Dog,Sammy,Sammy,12,Mixed
Dog,Theodore Barkalot,Teddy,8,Bichon Havanese
Dog,d'Artagnan,Dart,17,Pug
Dog,Celsius Pele Amadeus Cartier,Celsius,11,Black Labrador Retriever
Dog,Lando Calrisian,Lando,4,Labrador Retriever
Dog,Obi-Wan,Obi,2,Labrador Retriever
Dog,Titus Sirius Icarus Cartier,Titus,10,Black Labrador Retriever
Dog,Samuel T Dogg,Sam,8,Labrador Retriever
Dog,Oreo Ann,Oreo,11,
Dog,Oliver,Ollie,7,
Dog,Stamford,Stamford,10,Bichon Frise
Dog,Bentley,Bentley,4,Chocolate Labrador Retriever
Dog,Lulu,Lulu,10,Jack Russell Terrier
Dog,Ella,Elephant,8,Mixed
Dog,Roxy,Roxy,5,German Shepherd
Dog,Desmond,Dez,8,Black Labrador Retriever
Dog,Stella,Stella,9,Mixed
Dog,Sheena,Beena,12,Golden Retriever
Dog,Perry the Poodle,Perry,2,Poodle
Dog,Cody the Corgi,Cody,3,Pembroke Welsh Corgi
Dog,Ginevra Molly,Ginny,0.34522439585730724,Golden Retriever
Dog,Riley,"Riley or Ri (pronounced RHY), but then there’s a bunch of nicknames like (Riley Roo, Roo, Ri Ri, Bud, Buddy, Bub, etc)",4,Husky
Dog,Cleopatra,Cleo,3,Greyhound
Dog,Coco,Coco,10,Corgi
Dog,Captain,Captain aka Cappie,14,Husky
Dog,Buddy,Buddy,8,Mixed
Dog,Magnolia Mae,Maggie,2,Corgi
Dog,Sam,Sammy,5,Border Collie
Dog,Zoey,Zo,4,Mixed
Dog,Chip,Chippers,2,Golden Retriever
Dog,Snickers,Snick,8,Labrador Retriever
Dog,Max,Max,12.5,Labrador Retriever
Dog,Leeloo,Leeloo,2,Labradoodle
Dog,Owen,Owen,13,Rhodesian Ridgeback
Dog,Daisy May,Daisy,11,Golden Retriever
Dog,Sunshine,Sunny,4,Pyrador
Dog,Freskin,Fattima Bouffants,13,Black Labrador Retriever
Dog,Philippa,Pippa,4,American Hairless Terrier
Dog,Lillie (Lilian now that she’s older),Lillie,5,Boxer
Dog,Dr. Wolf Barker,Wolfie,7,Mixed
Dog,Toby,Tobias,10,Bichon Frise
Dog,Alice,Alicima Bouffants,11,Bichon Frise
Dog,DeeDee,Deedle Dumpling,10,Bichon Frise
Dog,Oliver,Oliver,12,Bichon Frise
Dog,Reuben,Reuben,12,Bichon Frise
Dog,Mowgli,"Mowgli, Mr. Tude (when he's sassy)",3,Yorkshire Terrier
Dog,Toby,Toby,12,Labrador Retriever
Dog,Buddy,Buddy,11,Mixed
Dog,Bella Sitka LASTNAME,"Bell, Bella, Pretty",15,Mianture American Eskimo
Dog,Monty,Montgomery of Fitzgerald,8,Labrador Retriever
Dog,Luna Lastname,"Luna, Loon, Loonie, Miss Loon, Wiggles",0.75,Doxin
Dog,Echo Last Name,Echo,12,Mianture American Eskimo
Dog,Nuffin,Nuffin,6,Golden Retriever
Dog,Mars,Chano,9,Corgi
Dog,Calhoun Richard Anderson du Nord,Cal,3.5,Golden Retriever
Dog,Charlie Brown,"Charlie, Charizard, Charles",10,Labrador Retriever
Dog,Bixby Lucas,Bixby,1,Black Labrador Retriever
Dog,Taco,"Taca Taca, snorticus",13,French Bulldog
Dog,Belle,Jelly Belly,3,Beagle
Dog,Jimmy,Jimmy,3,Jack Russell Terrier
Dog,Miles,Miles,10,Redbone Coonhound
Dog,Eleanor Rose,Elly,5,Golden Retriever
Dog,Cooper Jay Nigel Winston,Cooper,8,Mixed
Dog,Buddy Augusto,Buddy,14,Cocker Spaniel
Dog,Dash,Dash,7,Mixed
Dog,Opie,Dope/ Opie,11,Golden Retriever
Dog,Georgia,Georgia,3,
Dog,Dino,Dino,13,Keeshound
Dog,Penny,Penny,10,Mixed
Dog,Alex’s Fiesty Girl Bailey Balogh,Bailey,11,Golden Retriever
Dog,Rey,Reymundo,2.5,Jack Russell Terrier
Dog,Uwe,Uwe,4,Golden Retriever
Dog,Millie Betty,Mill,1.5,Dalmatian
Dog,Henry,Henny,1,Dalmatian
Dog,Daisy May,Daisy,13,Mixed
Dog,Chamomile June,Cammie,9,Cocker Spaniel
Dog,Chapman,Chapman,15,Black Labrador Retriever
Dog,Tucker,Tucker,0.75,Mixed
Dog,Chappelle,Mutt,8,Dachshund
Dog,Bella,Bella,11,Greater Swiss Mountain Dog
Dog,Toby Wan Kenobi,Toby,1,Golden Retriever
Dog,Daisy,Daisy,12,Labrador Retriever
Dog,Beaucoup du Chien,Beau,,Newfoundland
Dog,Pumpkin,Pumpkin,,Yellow Labrador Retriever
Dog,Poquit,Poquit,,Chocolate Labrador Retriever
Dog,Rosie,Rosie,9,Golden Retriever
Dog,Murphy,Murphy,10,Yorkshire Terrier
Dog,Giacomo Science,Giacomo,6,Bernese Mountain Dog
Dog,Zuul,Zuul,5,Mixed
Dog,Trogdor Jealous,Dora,14,Mixed
Dog,Professor Tuxedo,Tux,1,Bernese Mountain Dog
Dog,Bodie,Bodie,8,Golden Retriever
Dog,Zoey,Zoey,5,Labradoodle
Dog,Joel Carlos,Joel,3,Beagador
Dog,Lola,Lola,1,Cocker Spaniel
Dog,Rufus,Rufus,15,Cairn Terrier
Dog,Sadie,Bubba,12,Golden Retriever
Dog,Zoey Deschanel,Zo,12,Bichon Frise
Dog,Cooper,Coop,6,Golden Retriever
Dog,Captain Goose,Goose,1,
Dog,Mr Doctor Professor Constable Detective Brick,Brick,8,British Bulldog
Dog,Ellie Sattler,El,1,Mixed
Dog,Juke,Juke,4,Dachshund
Dog,Blue,Blue,0.5,Chocolate Labrador Retriever
Dog,Kiefer Bartholomew,Kief,9,Belgian Shepard
Dog,Jackson,Jax,5,Labradoodle
Dog,Zeta bear,Bear,6,German Shepherd
Dog,Minnie,MinniePin,2,Mixed
Dog,Dixie,Dixie,15,Mixed
Dog,Rosa Barks,Rosie,11,Shih Tzu
Dog,Charlie,Charlie,0.19179133103183735,Mixed
Dog,Jack Dog,Jack,16,Mixed
Dog,Timon,Timon,3,Mixed
Dog,Leila Fowler-Martinez,Leila or Pinche Leila,7,
Dog,Tubu,Tubu,11,Chihuahua
Dog,Goodness Gracious,Gracy,12,Shih Tzu
Dog,Monkey,Monkey,11,Australian Shepherd
Dog,Rosie,Rosie Posie,,Golden Retriever
Dog,Scirocco Augustus,Rocco or Crocco,5,Treeing Walker Coonhound
Dog,Heavy Duty Puppy,Duty,4,Shetland Sheepdog
Dog,Siena Rosa,Siena,12,Golden Retriever
Dog,Buttercup Maplesde,Butternut,3,
Dog,Zuez Maplesden,Zuzy,3,
Dog,Bella Maplesden,Bella,2,Bali
Dog,,,,
Dog,,,,
Dog,Ghia Lynn,Ghia or Geeg,1,Border Collie
Dog,Delilah,Lilah,7,Beagle
Dog,Treacle,Treacle,10,Mixed
Dog,Sam,Sam,11,Labrador Retriever
Dog,Tyson,"Tysbert, T McT, Mucki, Muckelbert, Muckmuck, Maggey",14,Mixed
Dog,Parker,Parker,11,Goldendoodle
Dog,Captain Avro Clarence,Avro,6,Miniature Schnauzer
Dog,Carlene,Weentz,4,Mixed
Dog,Linda,Linda,10,West Highland White Terrier
Dog,Toby Wooferton,Toby,18,Mixed
Dog,Sacha,Fjollehoved (Danish for goofball),13,Golden Retriever
Dog,Snickers,Snicks,14,Labradoodle
Dog,Sherlock Bones,Sherlock,4,Pitbull
Dog,Irene Adler,Addie,8,Bulldog
Dog,Wallace,Wally,2,Labradoodle
Dog,Dude,Handsome,2.5,Labrador Retriever
Dog,Bailey,Bailey,9,Golden Retriever
Dog,Willow,Sweetie,6,Labrador Retriever
Dog,Philistine Smoosh,Bill,14,Jack Russell Terrier
Dog,Henry Nacho,Henny,8,Golden Retriever
Dog,Maximilian Kolby,Maxy,16,Golden Retriever
Dog,Argos,Argos,6,Mixed
Dog,Madeline Grace,Ma ma,15,Golden Retriever
Dog,Elvis,Elvis,11,Cockapoo
Dog,Coconut Butter,Coco,5,Mixed
Dog,Lucy-fur,Lucy,12,Golden Retriever
Dog,Sophie Grace,Soph,13,Brindle Black
Dog,Prince,Prince,14,Mixed
Dog,Jackson Buttsickle,Jacks,4,Mixed
Dog,Lassie,Lass Lass,14,
Dog,Charles Xavier II,Charlie,4,Great Pyrenees
Dog,Caroline,Caroline,5,Mixed
Dog,Beau,"Goomby, Mr. Beauregard",4,Golden Retriever
Dog,Lindon,Lindy loo,10,Mixed
Dog,Tedward,Teddy,4,Mixed
Dog,Zuzu,Zu,4,Mixed
Dog,Marcus Brutus,Brutus,4,Boxer
Dog,Brownie Leigh,Brownie,3,Mixed
Dog,Jersey Girl,Jersey,11,Mixed
Dog,Stella,Stells,10,Goldendoodle
Dog,Lizzie,Lizzie Pie,6,Mixed
Dog,Roxy,Roxy Socks,1,Mixed
Dog,Coco Murfree,Coco,9,Border Collie
Dog,Ozzy,Ozlet,1,Mixed
Dog,Winston Pigaloo,Winston or Lewis,6,Pug
Dog,Noodle,Noodle / Weenie,13,Dachshund
Dog,Phantom,Phantom,5,Pitbull
Dog,Ellen Park,Ellen,3,
Dog,Spud,Schmoops,1.5,Pembroke Welsh Corgi
Dog,FN 2187,Finn,1.5,Goldendoodle
Dog,Pisco,Pisco,5,German Pointer
Dog,Sadie,Sadie,3,German Shepherd
Dog,Lola,Loli Ravioli,0.75,Golden Retriever
Dog,Addie Heart,Addie,8,Mixed
Dog,Ernie,"Ernburn, Erndog, Ernieworm",1,
Dog,Semaj,"Sammich, Dumbledork",4,Shih Tzu
Dog,Maya,"Little Miss Maya, Diva",8,Shih Tzu
Dog,Bijou,Bijou,12,Jack Russell Terrier
Dog,Pesto,Pesto,0.75,Beagle
Dog,Maggie,Magz,,Mixed
Dog,Toby,Toby,1,Golden Retriever
Dog,Jacob Marley,Jake,6,Golden Retriever
Dog,Cujo,Bubby,11,Cocker Spaniel
Dog,Maizie,Maizie,0.3333333333333333,Miniature Schnauzer
Dog,Bruce D4,Bruce,12,Dachshund
Dog,Jackie Kate,Jackie,5,Mixed
Dog,Daisy Bear,Daisy or Bear,2.5,German Shepherd
Dog,Tinker Stinker,Stinks,2.5,German Shepherd
Dog,Mile High Ice Storm,Miles,7,Golden Retriever
Dog,Breezy Bear,Breezy,1,Golden Retriever
Dog,Nara,Gorda,3,Australian Cattle Dog
Dog,Wyatt Daniel,Wyatt,2,Pembroke Welsh Corgi
Dog,,Petra,,Golden Retriever
Dog,Rosie,Rosie,10,Walker Hound
Dog,Lilly,Lilly,10,German Shepherd
Dog,Charles,Charles,12,Miniature Schnauzer
Dog,Pippa,Pip,1.1,Goldendoodle
Dog,Oliver,Ollie,7,Jack Russell Terrier
Dog,Kiku,Kiku,3,Mixed
Dog,Brandy,Brenda,10,Havanese
Dog,Bobby,bobkin,8,Shih Tzu
